title	symbol	value	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en
中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 泥質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	K11-121_mscpe_hlb	016fe1	1	111	225	中生代 前期白亜紀 ベリアシアン期〜アプチアン期	Mesozoic Early Cretaceous Berriasian - Aptian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	pelitic schist lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質千枚岩 高P/T型広域変成岩　緑泥石帯	K112-121_mpype_hc	016fe2	1	111	226	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質千枚岩 高P/T型広域変成岩　緑泥石帯	pelitic phyllite chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 粘板岩  高P/T型広域変成岩　緑泥石帯	K112-121_msl_hc	016fe3	1	111	227	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	粘板岩  高P/T型広域変成岩　緑泥石帯	slate chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯	K112-121_mpyma_hc	017100	1	113	0	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯	mafic phyllite chlorite zone of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相	Ca-O_mgmpe_ham	021000	2	16	0	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相	pelitic gneiss & migmatite amphibolite facies rock of high P/T  regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 粘板岩  高P/T型広域変成岩　ローソン石青色片岩亜相	D3-P1_msl_hlb	022760	2	39	96	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	粘板岩  高P/T型広域変成岩　ローソン石青色片岩亜相	slate lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 泥質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	Ca-O_mscpe_hag	02393a	2	57	58	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	pelitic schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成斑れい岩 高P/T型広域変成岩　緑泥石帯	Tr22-J31_mrga_hc	02406c	2	64	108	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　緑泥石帯	metagabbro chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相	K112-121_msgpe_ham	025c97	2	92	151	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相	pelitic gneiss & schist amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　角閃岩相	K122-Pg12_mscpe_ham	026997	2	105	151	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　角閃岩相	pelitic schist amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相・グラニュライト相	K122-Pg12_mgmpe_mag	026998	2	105	152	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相・グラニュライト相	pelitic gneiss & migmatite amphibolite or granulite facies rocks of medium P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　ざくろ石帯	K122-Pg12_mscpe_hg	026be8	2	107	232	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　ざくろ石帯	pelitic schist garnet zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 泥質千枚岩 高P/T型広域変成岩　ローソン石青色片岩亜相	K11-121_mpype_hlb	0270e3	2	112	227	中生代 前期白亜紀 ベリアシアン期〜アプチアン期	Mesozoic Early Cretaceous Berriasian - Aptian	変成岩	Metamorphic rocks	泥質千枚岩 高P/T型広域変成岩　ローソン石青色片岩亜相	pelitic phyllite lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 粘板岩  高P/T型広域変成岩　ローソン石青色片岩亜相	K11-121_msl_hlb	0270e4	2	112	228	中生代 前期白亜紀 ベリアシアン期〜アプチアン期	Mesozoic Early Cretaceous Berriasian - Aptian	変成岩	Metamorphic rocks	粘板岩  高P/T型広域変成岩　ローソン石青色片岩亜相	slate lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯	Tr22-J31_mpyma_hc	027100	2	113	0	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯	mafic phyllite chlorite zone of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相	Ca-O_mgmpe_hag	031101	3	17	1	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相	pelitic gneiss & migmatite amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相	Ca-O_msmpe_ham	033a3b	3	58	59	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相	pelitic schist, granofels, gneiss & migmatite amphibolite facies rock of high P/T  regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成斑れい岩 高P/T型広域変成岩　緑泥石帯	D3-P1_mrga_hc	03406c	3	64	108	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　緑泥石帯	metagabbro chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	K112-121_msgpe_hag	035d98	3	93	152	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	pelitic gneiss & schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	K122-Pg12_mscpe_hag	036a98	3	106	152	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	pelitic schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相	K122-Pg12_mgmpe_ham	036a99	3	106	153	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相	pelitic gneiss & migmatite amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片岩 高P/T型広域変成岩　角閃岩相	K112-121_mscpe_ham	036ce9	3	108	233	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　角閃岩相	pelitic schist amphibolite facies rock of high P/T  regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯	D3-P1_mpyma_hc	037100	3	113	0	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯	mafic phyllite chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 アプチアン期〜アルビアン期, 海成層 石灰岩	K12_sol	038aff	3	138	255	中生代 前期白亜紀 アプチアン期〜アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 カンブリア紀〜オルドビス紀, 泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相	Ca-O_msgpe_ham	041202	4	18	2	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相	pelitic gneiss & schist amphibolite facies rock of high P/T  regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相	Ca-O_msmpe_hag	043b3c	4	59	60	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相	pelitic schist, granofels, gneiss & migmatite amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 変成斑れい岩 高P/T型広域変成岩　緑泥石帯	Ca-O_mrga_hc	04406c	4	64	108	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　緑泥石帯	metagabbro chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相	K122-Pg12_msmpe_mam	046b99	4	107	153	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相	pelitic schist, granofels, gneiss & migmatite amphibolite facies rock of medium P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相	K122-Pg12_mgmpe_hag	046b9a	4	107	154	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相	pelitic gneiss & migmatite amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	K112-121_mscpe_hag	046dea	4	109	234	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	pelitic schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯	Ca-O_mpyma_hc	047100	4	113	0	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯	mafic phyllite chlorite zone of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	Ca-O_msgpe_hag	051303	5	19	3	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	pelitic gneiss & schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
